
 SQL Server Execution Times:
   CPU time = 0 ms,  elapsed time = 0 ms.

 SQL Server Execution Times:
   CPU time = 0 ms,  elapsed time = 0 ms.

 SQL Server Execution Times:
   CPU time = 0 ms,  elapsed time = 0 ms.
SQL Server parse and compile time: 
   CPU time = 11 ms, elapsed time = 12 ms.
Ticker   Bucket      Close               
-------- ----------- --------------------
A200        13988266              89.5900
A200        13988267              89.5800
A200        13988268              89.5700
A200        13988269              89.5600
A200        13988270              89.5500
A200        13988271              89.5400
A200        13988272              89.5300
A200        13988273              89.5200
A200        13988274              89.5100
A200        13988275              89.5000
A200        13988276              89.4900
A200        13988277              89.4800
A200        13988278              89.4700
A200        13988279              89.4600
A200        13988280              89.4500
A200        13988281              89.4400
A200        13988282              89.4300
A200        13988283              89.4200
A200        13988284              89.4100
A200        13988285              89.4000
A200        13988286              89.3900
A200        13988287              89.3800
A200        13988288              89.3700
A200        13988289              89.3600
A200        13988290              89.3500
A200        13988291              89.3400
A200        13988292              89.3300
A200        13988293              89.3200
A200        13988294              89.3100
A200        13988295              89.3000
A200        13988296              89.2900
A200        13988297              89.2800
A200        13988298              89.2700
A200        13988299              89.2600
A200        13988300              89.2500
A200        13988301              89.2400
A200        13988302              89.2300
A200        13988303              89.2200
A200        13988304              89.2100
A200        13988305              89.2000
A200        13988306              89.1900
A200        13988307              89.1800
A200        13988308              89.1700
A200        13988309              89.1600
A200        13988310              89.1500
A200        13988311              89.1400
A200        13988312              89.1300
A200        13988313              89.1200
A200        13988314              89.1100
A200        13988315              89.1000
A200        13988316              89.0900
A200        13988317             143.2000
A200        13988318             148.9600
A200        13988319              89.0600
A200        13988320              89.0500
A200        13988321              89.0400
A200        13988322              89.0300
A200        13988323              89.0200
A200        13988324              89.0100
A200        13988325              89.0000
ACDC        13988266             112.5900
ACDC        13988267             112.5800
ACDC        13988268             112.5700
ACDC        13988269             112.5600
ACDC        13988270             112.5500
ACDC        13988271             112.5400
ACDC        13988272             112.5300
ACDC        13988273             112.5200
ACDC        13988274             112.5100
ACDC        13988275             112.5000
ACDC        13988276             112.4900
ACDC        13988277             112.4800
ACDC        13988278             112.4700
ACDC        13988279             112.4600
ACDC        13988280             112.4500
ACDC        13988281             112.4400
ACDC        13988282             112.4300
ACDC        13988283             112.4200
ACDC        13988284             112.4100
ACDC        13988285             112.4000
ACDC        13988286             112.3900
ACDC        13988287             112.3800
ACDC        13988288             112.3700
ACDC        13988289             112.3600
ACDC        13988290             112.3500
ACDC        13988291             112.3400
ACDC        13988292             112.3300
ACDC        13988293             112.3200
ACDC        13988294             112.3100
ACDC        13988295             112.3000
ACDC        13988296             112.2900
ACDC        13988297             112.2800
ACDC        13988298             112.2700
ACDC        13988299             112.2600
ACDC        13988300             112.2500
ACDC        13988301             112.2400
ACDC        13988302             112.2300
ACDC        13988303             112.2200
ACDC        13988304             112.2100
ACDC        13988305             112.2000
ACDC        13988306             112.1900
ACDC        13988307             112.1800
ACDC        13988308             112.1700
ACDC        13988309             112.1600
ACDC        13988310             112.1500
ACDC        13988311             112.1400
ACDC        13988312             112.1300
ACDC        13988313             112.1200
ACDC        13988314             112.1100
ACDC        13988315             112.1000
ACDC        13988316             112.0900
ACDC        13988317              69.4200
ACDC        13988318              66.8600
ACDC        13988319             112.0600
ACDC        13988320             112.0500
ACDC        13988321             112.0400
ACDC        13988322             112.0300
ACDC        13988323             112.0200
ACDC        13988324             112.0100
ACDC        13988325             112.0000
ASIA        13988266              76.5900
ASIA        13988267              76.5800
ASIA        13988268              76.5700
ASIA        13988269              76.5600
ASIA        13988270              76.5500
